run_id,dataset,model,protected,method,repeat,n_idi,n_test,cov1,cov2,cov3,cov4,cov5,div50,div100,div200,div500,div1000,div2000,div3000,div5000,real_time,cpu_time,partition_real,partition_cpu,generation_real,generation_cpu,n_regions
regionft_random-LogReg-Adult-sex-d5000000-0,Adult,LogReg,sex,regionft_random,0,57304,5000000,1,1977,46098,56377,57234,11.4423,11.4289,11.4291,11.4297,11.4269,11.4322,11.4298,11.43,89.74,89.74,23.21,23.21,66.53,66.53,1024
regionft_random-LogReg-Adult-sex-d5000000-1,Adult,LogReg,sex,regionft_random,1,57142,5000000,1,1989,45302,56026,57062,11.4284,11.4172,11.4315,11.4292,11.4308,11.4326,11.431,11.4322,88.99,88.99,24.12,24.12,64.87,64.87,1024
regionft_random-LogReg-Adult-sex-d5000000-2,Adult,LogReg,sex,regionft_random,2,75095,5000000,1,1990,54670,73080,74955,11.4384,11.4308,11.4419,11.4438,11.4406,11.4418,11.4416,11.4424,89.18,89.18,23.57,23.57,65.62,65.62,1024
regionft_random-LogReg-Adult-sex-d5000000-3,Adult,LogReg,sex,regionft_random,3,66434,5000000,1,1993,51339,65186,66335,11.4416,11.4397,11.4393,11.4404,11.4425,11.4431,11.4418,11.4426,88.83,88.83,23.82,23.82,65.01,65.01,1024
regionft_random-LogReg-Adult-sex-d5000000-4,Adult,LogReg,sex,regionft_random,4,56189,5000000,1,1980,44999,55317,56118,11.4279,11.4389,11.4295,11.4333,11.4373,11.436,11.4358,11.4353,89.2,89.19,22.3,22.3,66.9,66.89,1024
regionft_d10-LogReg-Adult-race-d5000000-0,Adult,LogReg,race,regionft_d10,0,392024,5000000,1,2042,100135,336091,384411,11.4616,11.446,11.4516,11.4552,11.4536,11.4538,11.4538,11.4541,205.46,205.45,80.38,80.37,125.08,125.08,739
regionft_d10-LogReg-Adult-race-d5000000-1,Adult,LogReg,race,regionft_d10,1,400046,5000000,1,2043,99984,342069,392173,11.4637,11.4454,11.4546,11.4578,11.4559,11.4542,11.4559,11.4551,207.33,207.33,82.39,82.39,124.94,124.94,740
regionft_d10-LogReg-Adult-race-d5000000-2,Adult,LogReg,race,regionft_d10,2,324541,5000000,1,2040,96565,285220,319342,11.4411,11.4459,11.4458,11.4513,11.4516,11.4519,11.4509,11.4522,180.65,180.65,57.25,57.25,123.39,123.39,495
regionft_d10-LogReg-Adult-race-d5000000-3,Adult,LogReg,race,regionft_d10,3,397862,5000000,1,2041,99621,340488,389959,11.4607,11.4408,11.4497,11.4552,11.4507,11.4485,11.4493,11.4502,209.21,209.2,84.34,84.33,124.87,124.87,755
regionft_d10-LogReg-Adult-race-d5000000-4,Adult,LogReg,race,regionft_d10,4,420263,5000000,1,2041,100894,355001,411325,11.4598,11.4546,11.4573,11.451,11.4503,11.452,11.4505,11.4515,205.24,205.24,81.83,81.82,123.41,123.41,755
regionft_random-LogReg-Adult-race-d5000000-0,Adult,LogReg,race,regionft_random,0,63399,5000000,1,1989,45503,61256,63165,11.4478,11.4477,11.4321,11.435,11.4405,11.4372,11.4388,11.4369,135.11,135.11,31.31,31.31,103.8,103.8,1024
